Word,Char Count,Value
a,1,484
aa,2,469
aaa,3,52
aaron,5,127
ab,2,407
abandoned,9,98
abc,3,194
aberdeen,8,437
abilities,9,49
ability,7,236
able,4,44
aboriginal,10,260
abortion,8,342
about,5,476
above,5,49
abraham,7,485
abroad,6,191
abs,3,345
absence,7,311
absent,6,257
absolute,8,282
absolutely,10,94
absorption,10,311
abstract,8,246
abstracts,9,100
abu,3,198
abuse,5,224
ac,2,471
academic,8,49
academics,9,169
academy,7,222
acc,3,25
accent,6,428
accept,6,485
acceptable,10,473
acceptance,10,342
accepted,8,444
accepting,9,208
accepts,7,127
access,6,481
accessed,8,70
accessibility,13,237
accessible,10,133
accessing,9,38
accessories,11,7
accessory,9,420
accident,8,321
accidents,9,82
accommodate,11,37
accommodation,13,125
accommodations,14,474
accompanied,11,162
accompanying,12,128
accomplish,10,311
accomplished,12,44
accordance,10,392
according,9,410
accordingly,11,415
account,7,239
accountability,14,259
accounting,10,432
accounts,8,450
accreditation,13,286
accredited,10,370
accuracy,8,75
accurate,8,109
accurately,10,346
accused,7,296
acdbentity,10,141
ace,3,256
acer,4,154
achieve,7,182
achieved,8,39
achievement,11,319
achievements,12,196
achieving,9,164
acid,4,363
acids,5,283
acknowledge,11,240
acknowledged,12,108
acm,3,359
acne,4,243
acoustic,8,79
acquire,7,108
acquired,8,103
acquisition,11,335
acquisitions,12,106
acre,4,448
acres,5,342
acrobat,7,398
across,6,54
acrylic,7,39
act,3,189
acting,6,496
action,6,225
actions,7,395
activated,9,484
activation,10,147
active,6,133
actively,8,29
activists,9,495
activities,10,42
activity,8,470
actor,5,60
actors,6,306
actress,7,250
acts,4,171
actual,6,5
actually,8,102
acute,5,158
ad,2,154
ada,3,413
adam,4,172
adams,5,57
adaptation,10,335
adapted,7,310
adapter,7,181
adapters,8,265
adaptive,8,430
adaptor,7,289
add,3,37
added,5,82
addiction,9,78
adding,6,374
addition,8,63
additional,10,98
additionally,12,472
additions,9,180
address,7,126
addressed,9,392
addresses,9,147
addressing,10,136
adds,4,235
adelaide,8,327
adequate,8,8
adidas,6,257
adipex,6,349
adjacent,8,150
adjust,6,226
adjustable,10,177
adjusted,8,317
adjustment,10,355
adjustments,11,141
admin,5,275
administered,12,366
administration,14,332
administrative,14,420
administrator,13,468
administrators,14,29
admission,9,447
admissions,10,133
admit,5,4
